ingredient,fdc_query,source_reference_id,fdc_id,fdc_description,data_type,publication_date,calories_per_100g,protein_g_per_100g,carbs_g_per_100g,fat_g_per_100g,fiber_g_per_100g,iron_mg_per_100g,calcium_mg_per_100g,vitamin_b12_mcg_per_100g,vitamin_d_mcg_per_100g,zinc_mg_per_100g,potassium_mg_per_100g,magnesium_mg_per_100g,sodium_mg_per_100g,source_url,source_kind,source_status
quinoa,quinoa raw,FDC:168917,168917,"Quinoa, cooked",SR Legacy,2019-04-01,120.0,4.4,21.3,1.92,2.8,1.49,17.0,0.0,0.0,1.09,172.0,64.0,7.0,https://fdc.nal.usda.gov/fdc-app.html#/food-details/168917/nutrients,usda_fdc_api,api_match
banana,banana raw,FDC:2709224,2709224,"Banana, raw",Survey (FNDDS),2024-10-31,97.0,0.74,22.71,0.28,1.7,0.0,5.0,0.0,0.0,0.16,326.0,28.0,0.0,https://fdc.nal.usda.gov/fdc-app.html#/food-details/2709224/nutrients,usda_fdc_api,api_match
chia,chia raw,FDC:2710819,2710819,"Chia seeds, dry, raw",Foundation,2024-10-31,517.0,17.0,38.3,32.9,,6.04,595.0,,,5.56,642.0,326.0,0.0,https://fdc.nal.usda.gov/fdc-app.html#/food-details/2710819/nutrients,usda_fdc_api,api_match
fortified oat milk,fortified oat milk raw,FDC:173904,173904,"Cereals, oats, regular and quick, not fortified, dry",SR Legacy,2019-04-01,379.0,13.2,67.7,6.52,10.1,4.25,52.0,0.0,0.0,3.64,362.0,138.0,6.0,https://fdc.nal.usda.gov/fdc-app.html#/food-details/173904/nutrients,usda_fdc_api,api_match
egg,egg raw,FDC:2707152,2707152,"Egg, whole, raw",Survey (FNDDS),2024-10-31,143.0,12.4,0.96,9.96,0.0,1.67,48.0,1.02,2.5,1.24,132.0,11.0,129.0,https://fdc.nal.usda.gov/fdc-app.html#/food-details/2707152/nutrients,usda_fdc_api,api_match
spinach,spinach raw,FDC:2709614,2709614,"Spinach, raw",Survey (FNDDS),2024-10-31,27.0,2.85,2.41,0.62,1.6,1.26,68.0,0.0,0.0,0.45,582.0,93.0,111.0,https://fdc.nal.usda.gov/fdc-app.html#/food-details/2709614/nutrients,usda_fdc_api,api_match
brown rice,brown rice raw,FDC:2512380,2512380,"Rice, brown, long grain, unenriched, raw",Foundation,2023-04-20,366.0,7.25,76.7,3.31,3.02,1.24,8.06,,,1.85,250.0,115.0,0.0,https://fdc.nal.usda.gov/fdc-app.html#/food-details/2512380/nutrients,usda_fdc_api,api_match
tofu,tofu raw,FDC:172475,172475,"Tofu, raw, firm, prepared with calcium sulfate",SR Legacy,2019-04-01,144.0,17.3,2.78,8.72,2.3,2.66,683.0,0.0,0.0,1.57,237.0,58.0,14.0,https://fdc.nal.usda.gov/fdc-app.html#/food-details/172475/nutrients,usda_fdc_api,api_match
greek yogurt,greek yogurt raw,FDC:2705441,2705441,"Yogurt, Greek, with oats",Survey (FNDDS),2024-10-31,149.0,9.22,20.02,3.67,1.5,0.66,89.0,0.49,0.7,0.89,161.0,29.0,58.0,https://fdc.nal.usda.gov/fdc-app.html#/food-details/2705441/nutrients,usda_fdc_api,api_match
blueberries,blueberries raw,FDC:2709275,2709275,"Blueberries, raw",Survey (FNDDS),2024-10-31,64.0,0.7,14.57,0.31,2.4,0.34,12.0,0.0,0.0,0.09,86.0,6.0,0.0,https://fdc.nal.usda.gov/fdc-app.html#/food-details/2709275/nutrients,usda_fdc_api,api_match
pumpkin seeds,pumpkin seeds raw,USDA-REF-F42D2F8575,,,,,,,,,,,,,,,,,,https://fdc.nal.usda.gov/fdc-app.html#/food-search?query=pumpkin%20seeds%20raw,usda_source_reference,offline_reference_used_after_api_http_error_429
almonds,almonds raw,USDA-REF-5B14DCD94B,,,,,,,,,,,,,,,,,,https://fdc.nal.usda.gov/fdc-app.html#/food-search?query=almonds%20raw,usda_source_reference,offline_reference_used_after_api_http_error_429
millet,millet raw,USDA-REF-7275CFFBBC,,,,,,,,,,,,,,,,,,https://fdc.nal.usda.gov/fdc-app.html#/food-search?query=millet%20raw,usda_source_reference,offline_reference_used_after_api_http_error_429
peanut butter,peanut butter raw,USDA-REF-42820C10B1,,,,,,,,,,,,,,,,,,https://fdc.nal.usda.gov/fdc-app.html#/food-search?query=peanut%20butter%20raw,usda_source_reference,offline_reference_used_after_api_http_error_429
